name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Moldova,2391.190399,2232.966791,2245.991938,1920.236468,1675.326637,1694.73794,1804.403491,1995.906443,2182.762274,2352.578464,2534.899049,2684.670785,2804.499217,2962.699612,2940.725031,3170.267712,3392.566682
Mongolia,2007.6561,1843.546247,1900.941175,1784.348989,1832.41016,2014.092499,2169.409296,2317.630972,2508.189723,2900.258716,3363.141124,4067.209129,4446.669909,4425.363468,4104.628399,4711.487499,5219.469413
Montenegro,4967.147931,6292.603784,6881.475652,7381.006137,6678.186207,7990.454675,7943.051724,6911.443156,7204.439274,7553.595946,7925.083622,9138.064528,10439.82359,11138.77647,10879.3595,11149.89836,11016.62112
Morocco,3948.745189,4620.690238,4053.059287,3931.91862,3586.127557,3278.181484,3254.78529,3154.943106,3226.492824,3155.459091,2982.758984,3167.191354,3242.029647,3341.510649,3554.557248,3576.745538,3647.45035
Mozambique,304.9558265,355.0650116,387.0967258,421.4282017,433.3580915,422.9445446,454.388272,492.1286223,523.0469037,554.447052,596.2716688,640.8988054,680.6270699,725.2575132,756.5254168,779.4083277,817.7017154
Myanmar,,,,,,,,,,,,,,,,,
Namibia,3326.092092,3513.674143,3504.917035,3626.691236,3605.007369,3743.862608,3875.196567,3958.29576,3889.674848,4249.552506,4376.372628,4809.03285,4940.6219,5140.673194,4930.137111,5101.29359,5146.142293
Nepal,1129.317407,1193.212036,1147.827393,1067.239477,1029.918747,1036.415009,1096.149164,1033.736198,1007.12463,1008.605253,988.1081323,987.639148,1002.766905,1048.780607,1086.810245,1166.463738,1185.376241
Netherlands,24834.10241,25838.28246,27839.3487,29798.37028,31633.96883,33796.4431,34503.13728,34774.44599,33092.40643,33416.59609,33866.69107,35225.51635,37328.19257,38332.92695,36398.97835,37635.37676,38054.85169
New Caledonia,,,,,,,,,,,,,,,,,
New Zealand,21508.15437,22003.33515,22550.17715,22845.70695,24060.13752,24233.60294,24785.30588,25206.3943,25618.82247,25733.02817,25515.04272,25785.6055,27199.1745,26512.8349,26129.61953,26591.30698,26666.53266
Nicaragua,,,,,,,,,,,,,,,,,
Niger,560.1091039,547.5678512,533.2365374,572.7038368,550.6896398,514.083787,540.4377314,549.3963357,547.4115939,519.288082,527.6607291,534.7452691,531.1410652,530.0393464,506.5156261,527.1399555,522.5570933
Nigeria,225.9366459,229.7063728,239.1633392,226.0330675,282.7938026,416.8002608,499.4412015,591.3991352,803.7423711,1134.169469,1541.305398,1574.339083,1914.454218,1895.847309,1968.521921,2089.288809,2338.889649
Norway,26912.19191,29231.83956,31742.0887,31789.73809,33837.85704,38911.7128,38846.76095,37911.88882,38131.45269,41478.24657,44545.73067,48222.11686,50036.35166,53099.81604,47811.20346,50178.75963,52414.58721
Oman,9104.641902,9898.161972,10236.92184,9224.154888,10324.569,12693.20554,12891.13265,13675.29718,15214.35636,17599.4963,20430.03109,22048.40687,23440.95909,29985.81192,24357.10328,29473.7203,31054.63706
Pakistan,2103.125544,2159.185726,2069.336095,2112.65311,2073.706743,2052.63329,2003.771602,2027.969587,2039.107159,2127.97212,2209.048164,2281.551707,2344.871819,2327.381419,2349.488546,2430.039701,2472.885229
Panama,6725.683939,6956.701677,7439.14238,7800.612716,7807.192895,7819.555,7861.482504,7990.354528,8494.057399,8613.559128,9309.733129,9735.151208,10325.7486,10842.86943,10927.51655,11337.86391,12154.74739
Paraguay,3543.569872,3581.851234,3601.696638,3592.950309,3414.35246,3156.005099,3206.626122,3218.992729,3464.327369,3658.235584,3515.244894,3573.611056,3778.720182,3975.53434,3854.05491,4230.955638,4351.296925
